trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
6KTPvBjPoFdFOe5qHLXZk0,0.195000,0.569000,303773,0.709000,0.000004,3,0.210000,-9.094000,0,0.059600,92.078000,4,0.465000,rnb
53MJun0YwDL71H2HNrG9JH,0.386000,0.070700,304533,0.108000,0.908000,2,0.109000,-21.585000,1,0.045500,78.135000,3,0.034000,classical
7zsUHXF1CRM9kiJVhPh2zn,0.314000,0.658000,724360,0.476000,0.921000,9,0.258000,-16.742000,0,0.058300,127.936000,4,0.039700,classical
05sCp83gcMm1iecYydKJS3,0.360000,0.459000,194520,0.706000,0.000002,5,0.256000,-4.467000,1,0.033000,65.163000,4,0.307000,pop
2U7X7mPD4wSp0capCGfpmM,0.024400,0.703000,354400,0.582000,0.010400,1,0.050200,-8.766000,0,0.172000,171.973000,4,0.594000,rnb
7L7KnCltNM8yXWs3ozuUY1,0.008260,0.836000,305350,0.670000,0.000355,5,0.083700,-6.907000,0,0.230000,107.018000,4,0.558000,rnb
4Bs9NcSkWJ1uuV7lHnTXxd,0.085900,0.432000,195853,0.711000,0.000082,4,0.103000,-7.081000,0,0.346000,89.917000,4,0.536000,rnb
1NrJYpdAi7uosDRPmSYrsG,0.334000,0.590000,208107,0.731000,0.000114,8,0.105000,-6.075000,1,0.035100,117.996000,4,0.502000,pop
3195W8cvqTkBj7UXVUBg8X,0.948000,0.333000,139133,0.066200,0.953000,9,0.082400,-22.512000,0,0.053900,64.727000,5,0.064500,classical
3UTPCVawp6wAupeKDvAVK8,0.944000,0.164000,296933,0.034300,0.868000,2,0.139000,-21.774000,0,0.042900,76.280000,5,0.065100,classical
3EoW3WFVterpG1cTPUvoQC,0.152000,0.740000,240467,0.644000,0.000000,8,0.091200,-4.873000,0,0.261000,81.741000,4,0.881000,rnb
33MdY52E1cmxeFYMFtR5RC,0.095900,0.463000,324413,0.628000,0.000000,2,0.109000,-9.391000,0,0.058600,94.445000,4,0.278000,rnb
5xtliWYBVT4cKo9BtBn43B,0.336000,0.583000,226760,0.628000,0.000000,4,0.120000,-6.288000,0,0.036300,92.037000,4,0.280000,pop
1e64wnyDlFfZ4acvLS1uJR,0.984000,0.256000,206895,0.043800,0.954000,6,0.077500,-26.834000,0,0.033800,95.890000,4,0.127000,classical
5UVKISF1TBBb5e7Hy1pHwc,0.784000,0.167000,321027,0.261000,0.101000,7,0.364000,-13.656000,0,0.032500,78.288000,4,0.101000,classical
7f1KEQeZhfiigX131qdQbU,0.066900,0.738000,235200,0.549000,0.003420,1,0.119000,-8.018000,1,0.202000,91.211000,4,0.769000,rnb
29MBUYERSaRxpOLl5c6pTi,0.868000,0.155000,299027,0.177000,0.109000,2,0.105000,-15.054000,0,0.042200,79.288000,5,0.039500,classical
5ZEY2HUEstaLlhxGoWmzCE,0.370000,0.389000,302667,0.567000,0.000000,6,0.121000,-6.956000,0,0.028300,91.814000,4,0.300000,pop
